model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,marka,tax(£),fuel type,engine size,mileage2,fuel type2,engine size2,reference
 C Class,2017.0," £59,740",Automatic,,,,,,unclean cclass,,Petrol,3982,"21,800",,,/ad/25377203
 Fiesta,2019.0,16370,Automatic,5206,Petrol,145.0,48.7,1.0,ford,,,,,,,
 Citigo,2016.0,7500,Manual,21972,Petrol,20.0,62.8,1.0,skoda,,,,,,,
 Ka+,2018.0,8321,Manual,17980,Petrol,145.0,54.3,1.2,ford,,,,,,,
 Astra,2016.0,10262,Manual,30079,Petrol,160.0,46.3,1.6,vauxhall,,,,,,,
 Hilux,2018.0,21998,Manual,34868,Diesel,260.0,40.4,2.4,toyota,,,,,,,
 A Class,2018.0,17900,Automatic,10610,Diesel,145.0,68.9,1.5,merc,,,,,,,
 E Class,2018.0,51200,Semi-Auto,4500,Petrol,145.0,30.1,4.0,merc,,,,,,,
 C Class,2016.0," £17,850",Automatic,"38,000",,,,,unclean cclass,,,£30,64.2,Diesel,2.1,/ad/25020674
 Golf,2020.0,20500,Manual,2500,Petrol,145.0,47.1,1.5,vw,,,,,,,
 Focus,2018.0,12999,Manual,11000,Petrol,,,0.0,focus,,,,,,,
 Corsa,2018.0,9250,Manual,7222,Petrol,150.0,43.5,1.4,vauxhall,,,,,,,
 Tucson,2017.0,15500,Manual,23546,Diesel,,61.7,1.7,hyundi,30.0,,,,,,
 GLE Class,2016.0,27880,Automatic,11513,Diesel,200.0,47.9,2.1,merc,,,,,,,
 Focus,2013.0," £5,999",Manual,"59,477",,,,,unclean focus,,14,£30,56.5,Petrol,1,/ad/25441453
 GLC Class,2020.0,37659,Semi-Auto,1000,Diesel,145.0,40.9,2.0,merc,,,,,,,
 Aygo,2018.0,8900,Manual,9148,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 X1,2016.0,13299,Manual,45795,Diesel,20.0,68.9,2.0,bmw,,,,,,,
 Fiesta,2014.0,8900,Manual,28600,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Golf SV,2016.0,9495,Manual,49148,Diesel,0.0,72.4,1.6,vw,,,,,,,
 Mondeo,2014.0,7495,Manual,82000,Diesel,30.0,62.8,2.0,ford,,,,,,,
 Golf,2016.0,12950,Semi-Auto,25816,Petrol,0.0,65.7,1.0,vw,,,,,,,
 4 Series,2019.0,24975,Semi-Auto,11736,Diesel,145.0,65.7,2.0,bmw,,,,,,,
 3 Series,2019.0,27490,Automatic,8410,Diesel,145.0,53.3,3.0,bmw,,,,,,,
 Touran,2015.0,10990,Semi-Auto,27583,Diesel,30.0,61.4,1.6,vw,,,,,,,
 5 Series,2014.0,10270,Automatic,71302,Diesel,30.0,62.8,2.0,bmw,,,,,,,
 Focus,2019.0," £17,155",Manual,,,,,,unclean focus,,Diesel,1.5,"12,086",,,/ad/25149679
 Mokka,2016.0,8498,Manual,55317,Petrol,200.0,40.9,1.6,vauxhall,,,,,,,
 Fiesta,2018.0,12000,Manual,15711,Petrol,150.0,62.8,1.0,ford,,,,,,,
 Q3,2020.0,33990,Manual,24,Petrol,145.0,39.8,1.5,audi,,,,,,,
 Fabia,2019.0,13990,Semi-Auto,14451,Petrol,150.0,60.1,1.0,skoda,,,,,,,
 4 Series,2019.0,34680,Automatic,3428,Diesel,145.0,49.6,3.0,bmw,,,,,,,
 Corsa,2018.0,8491,Manual,17738,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 C Class,," £18,995",Automatic,,,,,,unclean cclass,,Diesel,2143,"15,500",,,/ad/24938808
 T-Cross,2020.0,18995,Manual,2500,Petrol,145.0,47.9,1.0,vw,,,,,,,
 Focus,2016.0," £10,499",Manual,"17,606",,,,,unclean focus,,16,£0,74.3,Diesel,1.5,/ad/24940631
 Polo,2017.0,9498,Manual,27014,Petrol,145.0,60.1,1.0,vw,,,,,,,
 Insignia,2019.0,19000,Manual,10737,Diesel,145.0,49.6,2.0,vauxhall,,,,,,,
 Focus,2018.0,13295,Manual,7359,Petrol,,,1.0,focus,,,,,,,
 C Class,2017.0,17681,Semi-Auto,16607,Petrol,145.0,51.4,2.0,merc,,,,,,,
 Fiesta,2019.0,10995,Manual,16552,Petrol,145.0,58.9,1.0,ford,,,,,,,
 Superb,2017.0,12999,Manual,31504,Petrol,150.0,54.3,1.4,skoda,,,,,,,
 T-Roc,2019.0,22989,Manual,6256,Diesel,145.0,50.4,1.6,vw,,,,,,,
 C Class,2019.0,25699,Semi-Auto,13044,Diesel,145.0,61.4,2.0,merc,,,,,,,
 Polo,2017.0,10190,Manual,20375,Petrol,150.0,58.9,1.0,vw,,,,,,,
 Tiguan,2015.0,11495,Manual,58366,Diesel,150.0,53.3,2.0,vw,,,,,,,
 Polo,2017.0,12999,Automatic,1536,Petrol,145.0,60.1,1.2,vw,,,,,,,
 A1,2019.0,16690,Manual,9600,Petrol,150.0,52.3,1.0,audi,,,,,,,
 Focus,2019.0," £17,500",Manual,"2,160",,,,,unclean focus,,,£150,58.9,Petrol,1,/ad/25478351
 Focus,2017.0,18610,Manual,10843,Petrol,,,2.0,focus,,,,,,,
 Kuga,2015.0,13660,Semi-Auto,49711,Diesel,145.0,52.3,2.0,ford,,,,,,,
 Q2,2019.0,25000,Manual,9,Diesel,145.0,49.6,1.6,audi,,,,,,,
 Focus,2017.0," £12,690",Manual,"20,988",,,,,unclean focus,,,£145,74.3,Diesel,1.5,/ad/25318887
 I10,2017.0,6298,Manual,46185,Petrol,,60.1,1.0,hyundi,20.0,,,,,,
 A3,2012.0,4895,Manual,104822,Diesel,20.0,68.9,1.6,audi,,,,,,,
 CLS Class,2019.0,36490,Semi-Auto,7036,Diesel,145.0,48.7,2.9,merc,,,,,,,
 Polo,2018.0,14290,Manual,12625,Petrol,150.0,60.1,1.0,vw,,,,,,,
 Polo,2019.0,20990,Semi-Auto,1396,Petrol,145.0,39.8,2.0,vw,,,,,,,
 SL CLASS,2017.0,20900,Automatic,26560,Petrol,145.0,47.9,2.0,merc,,,,,,,
 Focus,2018.0,14600,Manual,7119,Diesel,,,1.5,focus,,,,,,,
 Crossland X,2019.0,11390,Manual,2560,Petrol,145.0,44.8,1.2,vauxhall,,,,,,,
 Fiesta,2018.0,11250,Manual,15634,Petrol,145.0,60.1,1.0,ford,,,,,,,
 C Class,2019.0,25990,Automatic,13275,Diesel,,,2.0,cclass,,,,,,,
 Fiesta,2017.0,10291,Manual,22437,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Focus,2018.0,14299,Manual,7498,Petrol,,,1.0,focus,,,,,,,
 Focus,2014.0,12850,Manual,36232,Petrol,,,2.0,focus,,,,,,,
 Corsa,2013.0,5299,Manual,43554,Petrol,30.0,55.4,1.0,vauxhall,,,,,,,
 C Class,2013.0,11900,Semi-Auto,33925,Petrol,,,1.6,cclass,,,,,,,
 Kuga,2018.0,14700,Manual,25352,Diesel,145.0,64.2,1.5,ford,,,,,,,
 Mokka,2016.0,9591,Manual,29707,Petrol,165.0,44.8,1.4,vauxhall,,,,,,,
 Superb,2017.0,15390,Manual,32952,Diesel,145.0,67.3,2.0,skoda,,,,,,,
 A3,2019.0,19750,Manual,4270,Petrol,145.0,47.1,1.0,audi,,,,,,,
 IX20,2016.0,7795,Manual,55979,Petrol,,50.4,1.4,hyundi,125.0,,,,,,
 Viva,2019.0,7995,Manual,7225,Petrol,145.0,46.3,1.0,vauxhall,,,,,,,
 Q3,2019.0,28900,Semi-Auto,6366,Petrol,145.0,32.5,2.0,audi,,,,,,,
 Prius,2016.0,19490,Automatic,23344,Hybrid,0.0,94.1,1.8,toyota,,,,,,,
 Tucson,2016.0,14990,Automatic,21656,Diesel,,47.1,2.0,hyundi,200.0,,,,,,
 Focus,2019.0,19490,Manual,2000,Petrol,145.0,58.9,1.0,ford,,,,,,,
 GLC Class,2018.0,28491,Automatic,11763,Diesel,145.0,56.5,2.1,merc,,,,,,,
 Zafira,2016.0,13295,Automatic,6329,Petrol,200.0,40.9,1.4,vauxhall,,,,,,,
 Yaris,2015.0,12000,Automatic,7929,Hybrid,0.0,78.0,1.5,toyota,,,,,,,
 Auris,2015.0,9495,Manual,32227,Diesel,20.0,65.7,1.6,toyota,,,,,,,
 C Class,2019.0," £23,016",Automatic,"7,264",,,,,unclean cclass,,,£145,45.6,Petrol,1.5,/ad/25253922
 Q3,2015.0,15698,Semi-Auto,12657,Petrol,150.0,47.9,1.4,audi,,,,,,,
 Golf,2016.0,14995,Manual,52588,Diesel,20.0,67.3,2.0,vw,,,,,,,
 Karoq,2019.0,23850,Manual,7250,Diesel,145.0,42.8,2.0,skoda,,,,,,,
 Q7,2014.0,18940,Automatic,60634,Diesel,300.0,38.2,3.0,audi,,,,,,,
 RAV4,2017.0,21971,Automatic,37258,Hybrid,20.0,55.4,2.5,toyota,,,,,,,
 SL CLASS,2016.0,19490,Semi-Auto,11335,Diesel,30.0,70.6,2.1,merc,,,,,,,
 Focus,2016.0," £7,195",Manual,"71,350",,,,,unclean focus,,,£0,74.3,Diesel,1498,/ad/25431317
 Kuga,2017.0,14995,Automatic,8800,Petrol,240.0,38.2,1.5,ford,,,,,,,
 T-Roc,2019.0,21191,Manual,2987,Diesel,145.0,46.3,2.0,vw,,,,,,,
 Golf,2016.0,10195,Manual,20053,Petrol,30.0,53.3,1.4,vw,,,,,,,
 Scala,2020.0,18250,Manual,3543,Petrol,145.0,49.6,1.0,skoda,,,,,,,
 Polo,2017.0,10491,Manual,24735,Petrol,20.0,60.1,1.2,vw,,,,,,,
 A6,2015.0,18598,Semi-Auto,38967,Diesel,125.0,58.9,2.0,audi,,,,,,,
 Corsa,2017.0,7199,Manual,21149,Petrol,145.0,55.4,1.4,vauxhall,,,,,,,
 4 Series,2015.0,14750,Manual,38974,Petrol,200.0,42.8,2.0,bmw,,,,,,,
 Polo,2016.0,9290,Manual,29742,Petrol,20.0,60.1,1.2,vw,,,,,,,
 Kuga,2015.0,14250,Manual,23019,Diesel,150.0,54.3,2.0,ford,,,,,,,
 Focus,2017.0," £16,230",Manual,"14,446",,,,,unclean focus,,,£145,41.5,Petrol,2,/ad/25222212
 Q2,2019.0,24995,Manual,2756,Petrol,145.0,42.2,1.0,audi,,,,,,,
 Q7,2016.0,21998,Semi-Auto,64668,Diesel,165.0,48.7,3.0,audi,,,,,,,
 GLE Class,2019.0,49980,Semi-Auto,52,Diesel,145.0,36.7,2.0,merc,,,,,,,
 Fiesta,2015.0,7830,Manual,37109,Petrol,0.0,65.7,1.0,ford,,,,,,,
 4 Series,2020.0,36902,Semi-Auto,101,Diesel,145.0,58.9,2.0,bmw,,,,,,,
 Corsa,2019.0,10300,Manual,9902,Petrol,150.0,43.5,1.4,vauxhall,,,,,,,
 Auris,2016.0,12750,Automatic,31800,Hybrid,0.0,78.5,1.8,toyota,,,,,,,
 C Class,2016.0,20991,Semi-Auto,26205,Diesel,125.0,58.9,2.1,merc,,,,,,,
 X1,2017.0,18998,Semi-Auto,28686,Diesel,125.0,57.6,2.0,bmw,,,,,,,
 3 Series,2013.0,9940,Manual,83000,Diesel,30.0,61.4,2.0,bmw,,,,,,,
 Focus,2018.0,11000,Manual,48961,Petrol,,,1.0,focus,,,,,,,
 Yaris,2018.0,10998,Manual,6280,Petrol,145.0,58.9,1.5,toyota,,,,,,,
 I10,2014.0,4970,Manual,25500,Petrol,,60.1,1.0,hyundi,20.0,,,,,,
 C Class,2019.0,30249,Automatic,2225,Diesel,145.0,55.4,2.0,merc,,,,,,,
 Tucson,2016.0,10998,Manual,40191,Diesel,,61.7,1.7,hyundi,30.0,,,,,,
 Aygo,2019.0,8510,Manual,5621,Petrol,145.0,57.7,1.0,toyota,,,,,,,
 CLS Class,2013.0,12400,Automatic,51423,Diesel,145.0,55.0,2.1,merc,,,,,,,
 Fabia,2019.0,14995,Manual,1000,Petrol,145.0,61.4,1.0,skoda,,,,,,,
 Yaris,2016.0,8680,Manual,14875,Petrol,30.0,55.0,1.3,toyota,,,,,,,
 X2,2019.0,25526,Semi-Auto,5161,Diesel,145.0,61.4,2.0,bmw,,,,,,,
 Corsa,2015.0,6498,Manual,38130,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 Polo,2015.0,10552,Semi-Auto,23120,Petrol,20.0,60.1,1.2,vw,,,,,,,
 Tiguan,2018.0,18999,Manual,11944,Petrol,145.0,46.3,1.4,vw,,,,,,,
 A3,2020.0,29000,Semi-Auto,352,Diesel,145.0,50.4,2.0,audi,,,,,,,
 Focus,2019.0," £18,650",Automatic,,,,,,unclean focus,,Diesel,1.5,"2,219",,,/ad/25462102
 Tiguan,2019.0,29950,Automatic,8980,Diesel,145.0,45.6,2.0,vw,,,,,,,
 Focus,2019.0,15645,Manual,10552,Petrol,,,1.0,focus,,,,,,,
 Astra,2016.0,9298,Manual,43061,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 Golf,2019.0,19054,Semi-Auto,10697,Petrol,145.0,44.1,1.5,vw,,,,,,,
 Focus,2018.0," £18,000",Automatic,"12,154",,,,,unclean focus,,,£150,47.9,Petrol,1.5,/ad/25459964
 Q5,2019.0,33850,Automatic,11254,Diesel,145.0,38.2,2.0,audi,,,,,,,
 Kuga,2014.0,9650,Manual,63348,Diesel,145.0,53.3,2.0,ford,,,,,,,
 Mokka,2015.0,8290,Manual,29200,Petrol,150.0,47.1,1.4,vauxhall,,,,,,,
 Q5,2017.0,22440,Manual,31185,Diesel,200.0,47.9,2.0,audi,,,,,,,
 Corsa,2015.0,8298,Manual,55451,Petrol,235.0,37.7,1.6,vauxhall,,,,,,,
 RAV4,2013.0,12495,Automatic,39555,Diesel,265.0,42.2,2.2,toyota,,,,,,,
 Yaris,2014.0,5850,Manual,44150,Petrol,125.0,52.3,1.3,toyota,,,,,,,
 Yaris,2017.0,12980,Automatic,21254,Hybrid,135.0,67.3,1.5,toyota,,,,,,,
 GLA Class,2016.0,17690,Semi-Auto,41520,Diesel,125.0,56.5,2.1,merc,,,,,,,
 T-Roc,2020.0,22495,Manual,4,Diesel,145.0,50.4,1.6,vw,,,,,,,
 A Class,2016.0,17770,Automatic,19219,Diesel,20.0,67.3,2.1,merc,,,,,,,
 Grandland X,2018.0,13995,Automatic,14200,Diesel,145.0,65.7,1.6,vauxhall,,,,,,,
 Golf,2019.0,20990,Automatic,6700,Petrol,145.0,43.5,1.5,vw,,,,,,,
 Corsa,2019.0,11495,Manual,4359,Petrol,145.0,44.8,1.4,vauxhall,,,,,,,
 Tucson,2019.0,18290,Semi-Auto,6692,Petrol,,36.2,1.6,hyundi,145.0,,,,,,
 Up,2013.0,3999,Manual,57407,Petrol,20.0,62.8,1.0,vw,,,,,,,
 B Class,2017.0,11998,Manual,44480,Diesel,30.0,65.7,2.1,merc,,,,,,,
 Q3,2019.0,27490,Manual,10,Petrol,145.0,40.9,1.5,audi,,,,,,,
 C Class,2019.0,29749,Semi-Auto,8559,Diesel,,,2.0,cclass,,,,,,,
 Mokka,2014.0,8600,Manual,28935,Diesel,125.0,57.6,1.7,vauxhall,,,,,,,
 Rapid,2016.0,7990,Manual,42000,Petrol,30.0,57.7,1.2,skoda,,,,,,,
 Octavia,2015.0,9990,Manual,41501,Diesel,20.0,68.9,2.0,skoda,,,,,,,
 1 Series,2019.0,15940,Manual,7913,Petrol,145.0,53.3,1.5,bmw,,,,,,,
 2 Series,2019.0,19980,Manual,1900,Petrol,145.0,42.8,1.5,bmw,,,,,,,
 A3,2019.0,20991,Semi-Auto,15147,Petrol,145.0,42.2,1.5,audi,,,,,,,
 A4,2016.0,13995,Semi-Auto,56615,Diesel,20.0,70.6,2.0,audi,,,,,,,
 Land Cruiser,2017.0,39495,Semi-Auto,9200,Diesel,145.0,38.2,2.8,toyota,,,,,,,
 Golf,2017.0,16800,Manual,22030,Diesel,145.0,60.1,2.0,vw,,,,,,,
 E Class,2016.0,15100,Automatic,58287,Diesel,125.0,61.4,2.1,merc,,,,,,,
 Aygo,2017.0,9795,Automatic,10068,Other,145.0,67.3,1.0,toyota,,,,,,,
 A6,2016.0,17298,Manual,31759,Diesel,30.0,61.4,2.0,audi,,,,,,,
 E Class,2014.0,15695,Automatic,38800,Diesel,125.0,57.7,2.1,merc,,,,,,,
 5 Series,2015.0,14195,Automatic,46140,Diesel,30.0,62.8,2.0,bmw,,,,,,,
 1 Series,2019.0,19298,Semi-Auto,10040,Diesel,145.0,67.3,2.0,bmw,,,,,,,
 Prius,2019.0,23498,Automatic,464,Hybrid,135.0,61.4,1.8,toyota,,,,,,,
 C Class,2016.0,15699,Semi-Auto,30301,Diesel,,,2.1,cclass,,,,,,,
 I30,2018.0,13470,Semi-Auto,13209,Diesel,,68.9,1.6,hyundi,150.0,,,,,,
 Corsa,2016.0,6000,Manual,71999,Diesel,0.0,88.3,1.3,vauxhall,,,,,,,
 Golf,2018.0,15499,Manual,21612,Diesel,145.0,67.3,2.0,vw,,,,,,,
 Insignia,2019.0,15995,Manual,10261,Petrol,145.0,50.4,1.5,vauxhall,,,,,,,
 Fiesta,2014.0,8280,Manual,28371,Petrol,0.0,65.7,1.0,ford,,,,,,,
 RS6,2016.0,49500,Automatic,41854,Petrol,325.0,29.4,4.0,audi,,,,,,,
 Aygo,2017.0,6950,Manual,9697,Petrol,145.0,69.0,1.0,toyota,,,,,,,
 SL CLASS,2019.0,60099,Automatic,91,Petrol,145.0,29.4,3.0,merc,,,,,,,
 C Class,2017.0,23149,Semi-Auto,7900,Diesel,,,2.1,cclass,,,,,,,
 Touran,2014.0,11395,Manual,13997,Diesel,125.0,61.4,1.6,vw,,,,,,,
 Kuga,2018.0,18200,Automatic,2331,Diesel,145.0,47.9,2.0,ford,,,,,,,
 Passat,2015.0,10798,Semi-Auto,83283,Diesel,125.0,60.1,2.0,vw,,,,,,,
 Polo,2016.0,10990,Manual,39000,Petrol,0.0,65.7,1.0,vw,,,,,,,
 Q7,2016.0,27057,Automatic,60569,Diesel,200.0,47.9,3.0,audi,,,,,,,
 Corsa,2018.0,7399,Manual,28408,Petrol,150.0,55.4,1.4,vauxhall,,,,,,,
 Adam,2016.0,7950,Manual,6500,Petrol,125.0,52.3,1.4,vauxhall,,,,,,,
 Tiguan,2020.0,29498,Semi-Auto,15,Diesel,150.0,45.6,2.0,vw,,,,,,,
 Corsa,2019.0,10498,Manual,5161,Petrol,150.0,43.5,1.4,vauxhall,,,,,,,
 Focus,2019.0,17410,Manual,1714,Petrol,145.0,60.1,1.0,ford,,,,,,,
 C Class,2017.0,31692,Automatic,38545,Petrol,,,3.0,cclass,,,,,,,
 B-MAX,2017.0,8999,Manual,16700,Petrol,150.0,47.1,1.4,ford,,,,,,,
 Golf,2019.0,10990,Manual,9906,Petrol,145.0,57.7,1.0,vw,,,,,,,
 Focus,2012.0,6295,Manual,68000,Diesel,,,1.6,focus,,,,,,,
 Citigo,2017.0,7191,Manual,19938,Petrol,150.0,68.9,1.0,skoda,,,,,,,
 C Class,2016.0,35995,Automatic,31719,Petrol,300.0,34.5,4.0,merc,,,,,,,
 E Class,2015.0,14700,Automatic,55283,Diesel,125.0,56.5,2.1,merc,,,,,,,
 Mondeo,2016.0,15200,Automatic,13807,Petrol,160.0,44.8,1.5,ford,,,,,,,
 Yaris,2018.0,14795,Automatic,9078,Hybrid,140.0,76.3,1.5,toyota,,,,,,,
 A4,2019.0,22340,Manual,10606,Petrol,145.0,39.2,2.0,audi,,,,,,,
 3 Series,2015.0,15981,Semi-Auto,33836,Diesel,125.0,60.1,2.0,bmw,,,,,,,
 A1,2019.0,17500,Manual,17175,Petrol,145.0,50.4,1.0,audi,,,,,,,
 Focus,2014.0,6275,Manual,55000,Petrol,,,1.0,focus,,,,,,,
 C Class,2018.0,17999,Semi-Auto,15998,Diesel,,,2.1,cclass,,,,,,,
 5 Series,2018.0,27798,Semi-Auto,15711,Diesel,145.0,60.1,3.0,bmw,,,,,,,
 Golf,2017.0,21497,Semi-Auto,15005,Petrol,200.0,39.8,2.0,vw,,,,,,,
 C Class,2020.0,31790,Automatic,3500,Petrol,145.0,64.2,2.0,merc,,,,,,,
 Polo,2014.0,10185,Manual,34500,Petrol,20.0,61.4,1.4,vw,,,,,,,
 Crossland X,2018.0,10995,Manual,16800,Diesel,145.0,78.5,1.6,vauxhall,,,,,,,
 Focus,2017.0,11253,Manual,9793,Petrol,,,1.0,focus,,,,,,,
 Yaris,2017.0,10150,Automatic,30500,Petrol,145.0,58.9,1.5,toyota,,,,,,,
 Fiesta,2016.0,10500,Automatic,3410,Petrol,0.0,57.7,1.0,ford,,,,,,,
 Focus,2015.0,7000,Manual,76890,Diesel,0.0,74.3,1.5,ford,,,,,,,
 Kuga,2017.0,17299,Manual,14224,Diesel,145.0,54.3,2.0,ford,,,,,,,
 X3,2012.0,10990,Automatic,90000,Diesel,160.0,50.4,2.0,bmw,,,,,,,
 IX35,2014.0,8498,Manual,35452,Diesel,,50.4,1.7,hyundi,165.0,,,,,,
 3 Series,2017.0,12490,Manual,26000,Petrol,125.0,52.3,1.5,bmw,,,,,,,
 Fiesta,2016.0,7850,Manual,9954,Petrol,125.0,54.3,1.2,ford,,,,,,,
 Mokka,2015.0,8700,Manual,41941,Petrol,200.0,42.2,1.4,vauxhall,,,,,,,
 Focus,2019.0," £16,995",Manual,"13,306",,,,,unclean focus,,,£145,58.9,Petrol,1,/ad/25241888
 C Class,2019.0,26299,Semi-Auto,13237,Petrol,145.0,47.1,1.5,merc,,,,,,,
 Mokka X,2017.0,14995,Semi-Auto,8600,Petrol,160.0,43.5,1.4,vauxhall,,,,,,,
 Fiesta,2017.0,8500,Manual,38139,Petrol,150.0,65.7,1.0,ford,,,,,,,
 Corsa,2017.0,7995,Manual,23546,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 Focus,2019.0,18960,Manual,824,Petrol,,,1.0,focus,,,,,,,
 Fiesta,2016.0,9798,Manual,24631,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Q2,2020.0,25888,Semi-Auto,4000,Petrol,145.0,42.2,1.5,audi,,,,,,,
 1 Series,2013.0,8999,Manual,31128,Diesel,30.0,62.8,2.0,bmw,,,,,,,
 Kuga,2018.0,17199,Semi-Auto,26000,Diesel,145.0,54.3,2.0,ford,,,,,,,
 Focus,2018.0," £12,895",Manual,"20,830",,,,,unclean focus,,,£145,57.7,Petrol,1,/ad/25436695
 Corsa,2017.0,6895,Manual,19853,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 Grand Tourneo Connect,2019.0,17998,Manual,1144,Diesel,145.0,61.4,1.5,ford,,,,,,,
 GLA Class,2019.0,23299,Semi-Auto,11606,Diesel,145.0,67.3,2.1,merc,,,,,,,
 A1,2016.0,13500,Manual,39937,Petrol,30.0,55.4,1.4,audi,,,,,,,
 Focus,2014.0,6936,Manual,71250,Diesel,,,1.5,focus,,,,,,,
 Astra,2016.0,10100,Automatic,39954,Petrol,120.0,51.4,1.4,vauxhall,,,,,,,
 A4,2015.0,11499,Manual,51493,Diesel,20.0,67.3,2.0,audi,,,,,,,
 S-MAX,2017.0,15999,Manual,36384,Petrol,160.0,43.5,1.5,ford,,,,,,,
 Tiguan Allspace,2018.0,22950,Semi-Auto,17434,Petrol,145.0,43.5,1.4,vw,,,,,,,
 Corsa,2019.0,8991,Manual,6164,Petrol,150.0,43.5,1.4,vauxhall,,,,,,,
 E Class,2018.0,35890,Automatic,7200,Diesel,145.0,42.8,3.0,merc,,,,,,,
 A Class,2015.0,14499,Semi-Auto,14807,Diesel,20.0,68.9,2.1,merc,,,,,,,
 Q5,2019.0,34998,Semi-Auto,19,Petrol,150.0,32.1,2.0,audi,,,,,,,
 Corsa,2016.0,6995,Manual,26441,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 Golf,2019.0,21395,Manual,10,Petrol,145.0,47.1,1.5,vw,,,,,,,
 3 Series,2020.0,35995,Semi-Auto,11,Diesel,145.0,47.9,3.0,bmw,,,,,,,
 C Class,2017.0,23124,Automatic,22811,Petrol,145.0,47.1,2.0,merc,,,,,,,
 Q2,2017.0,16789,Manual,25213,Petrol,145.0,52.3,1.4,audi,,,,,,,
 Fusion,2010.0,2495,Manual,96000,Diesel,30.0,62.8,1.4,ford,,,,,,,
 Q3,2019.0,40995,Automatic,9029,Petrol,145.0,31.4,2.0,audi,,,,,,,
 Octavia,2016.0,13495,Manual,47271,Diesel,30.0,62.8,2.0,skoda,,,,,,,
 Z4,2019.0,32950,Semi-Auto,8031,Petrol,145.0,37.2,2.0,bmw,,,,,,,
 Focus,2017.0," £9,600",Manual,"50,689",,,,,unclean focus,,,£0,74.3,Diesel,1.499,/ad/25476685
 Yaris,2017.0,11595,Automatic,24242,Hybrid,0.0,86.0,1.5,toyota,,,,,,,
 Q3,2017.0,24995,Semi-Auto,9078,Petrol,145.0,40.4,2.0,audi,,,,,,,
 T-Roc,2019.0,24550,Semi-Auto,100,Petrol,145.0,39.8,1.5,vw,,,,,,,
 Kuga,2019.0,20447,Manual,8605,Diesel,145.0,47.9,2.0,ford,,,,,,,
 Q7,2020.0,62990,Semi-Auto,6000,Diesel,145.0,33.2,3.0,audi,,,,,,,
 Mokka,2014.0,7687,Manual,37356,Diesel,30.0,60.1,1.7,vauxhall,,,,,,,
 B-MAX,2017.0,9000,Automatic,26825,Petrol,150.0,44.1,1.6,ford,,,,,,,
 Ka+,2018.0,10995,Manual,5869,Diesel,145.0,56.5,1.5,ford,,,,,,,
 Aygo,2016.0,7499,Manual,27544,Petrol,0.0,69.0,1.0,toyota,,,,,,,
 X3,2013.0,12750,Automatic,71558,Diesel,160.0,50.4,2.0,bmw,,,,,,,
 Golf,2015.0,12989,Manual,27430,Petrol,30.0,58.9,1.4,vw,,,,,,,
 Aygo,2019.0,10800,Manual,25,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 Fiesta,2019.0,14930,Manual,10586,Petrol,145.0,55.4,1.0,ford,,,,,,,
 C Class,2018.0," £19,250",Automatic,"20,275",,,,,unclean cclass,,31,£150,60.1,Diesel,2.143,/ad/25463356
 Superb,2019.0,21495,Manual,6104,Diesel,145.0,64.2,2.0,skoda,,,,,,,
 A Class,2019.0,18241,Automatic,15722,Diesel,145.0,65.7,1.5,merc,,,,,,,
 X1,2020.0,29995,Semi-Auto,1501,Diesel,145.0,50.4,2.0,bmw,,,,,,,
 Q3,2017.0,19956,Semi-Auto,38150,Petrol,200.0,42.2,2.0,audi,,,,,,,
 X3,2018.0,29022,Automatic,6716,Diesel,145.0,56.5,2.0,bmw,,,,,,,
 C-HR,2017.0,17298,Automatic,11772,Petrol,145.0,47.9,1.2,toyota,,,,,,,
 Golf,2015.0,8485,Manual,52365,Diesel,0.0,68.9,1.6,vw,,,,,,,
 Insignia,2018.0,13950,Manual,6256,Petrol,150.0,50.4,1.5,vauxhall,,,,,,,
 Focus,2018.0,15500,Manual,14505,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Focus,2019.0,26230,Manual,3802,Petrol,145.0,34.5,2.3,ford,,,,,,,
 C Class,2019.0,26549,Automatic,4818,Diesel,145.0,60.1,1.6,merc,,,,,,,
 X5,2019.0,46950,Semi-Auto,7246,Diesel,145.0,37.7,3.0,bmw,,,,,,,
 Superb,2016.0,14799,Automatic,48675,Diesel,30.0,62.8,2.0,skoda,,,,,,,
 C Class,2015.0,17695,Automatic,64765,Diesel,30.0,64.2,2.1,merc,,,,,,,
 Golf,2015.0,11299,Manual,24959,Petrol,30.0,53.3,1.4,vw,,,,,,,
 Astra,2017.0,11998,Semi-Auto,14727,Petrol,150.0,50.4,1.4,vauxhall,,,,,,,
 C Class,2016.0,18480,Semi-Auto,14996,Diesel,,,2.1,cclass,,,,,,,
 Prius,2018.0,18150,Automatic,59191,Other,135.0,235.0,1.8,toyota,,,,,,,
